
@RELATION agua-with-CAT-InspVis

@ATTRIBUTE TRANS REAL
@ATTRIBUTE OD REAL
@ATTRIBUTE PH REAL
@ATTRIBUTE DQO REAL
@ATTRIBUTE FeTotal REAL
@ATTRIBUTE NH4 REAL
@ATTRIBUTE NO3 REAL
@ATTRIBUTE PO4 REAL
@ATTRIBUTE PTOTAL REAL
@ATTRIBUTE STS REAL
@ATTRIBUTE CHLOROPHYLL REAL
@ATTRIBUTE TURB REAL
@ATTRIBUTE CYCLE {filling, full, emptying, dry}

@DATA
2.7,4.2,6.74,6.89,0.68,1.87,56.57,18.85,18.75,1.2,1.43,2.86,full
2.5,4.2,7.11,5.2,0.28,122.81,13.54,3.61,4.11,1.8,2.86,2.31,dry
3,4.21,6.7,7.13,0.3,26.23,1.89,0.24,8.19,1.6,5.68,4.17,filling
2.8,4.21,7.32,4.8,0.97,57.76,6.26,6.58,19.96,1.8,5.47,2.33,emptying
1.3,4.22,6.99,4.03,1.09,35.11,82.54,1.25,32.13,10.4,39.33,16.08,filling
2,4.24,7.08,3.83,0.51,92.81,35.37,0.89,20.9,3.2,8.81,10.01,filling
2.8,4.24,6.71,6.4,0.88,71.93,21.9,16.17,20.31,1.2,5.95,2.23,emptying
3.2,4.25,6.94,8.08,0.54,48.69,11.83,16.17,17.19,0.4,4.76,1.53,full
4.2,4.26,7.16,3.65,0.09,19.57,49.73,1.97,12.46,3.8,4.28,0.71,filling
0.8,4.27,7.27,6.61,1.03,44.78,38.75,8.42,43.37,8.6,6.19,27.45,dry
2,4.28,6.34,7.27,0.56,10.77,20.29,6.87,14.44,2.8,7.62,5.38,filling
1,4.28,6.91,5.88,0.82,15.13,35.67,9.93,41.1,6,12.85,11.21,full
0.9,4.28,7.09,8.24,0.71,34.68,43.41,23.11,32.13,4,6.19,7.66,filling
2.2,4.28,6.71,6.06,1.88,29.86,13.74,19.71,33.21,2.2,5.95,2.38,full
2.8,4.35,6.58,4.24,0.62,5.15,30.46,2.32,8.53,0.75,7.14,1.93,full
2.6,4.37,6.79,5.46,0.4,0.71,57.49,1.28,8.53,1,4.64,9.69,filling
